GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Population 5 years and over
HC01_EST_VC53,Total; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a mental disability - Below poverty level
HC01_MOE_VC53,Total; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a mental disability - Below poverty level
HC02_EST_VC53,Male; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a mental disability - Below poverty level
HC02_MOE_VC53,Male; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a mental disability - Below poverty level
HC03_EST_VC53,Female; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a mental disability - Below poverty level
HC03_MOE_VC53,Female; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a mental disability - Below poverty level
HC01_EST_VC54,Total; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a self-care disability
HC01_MOE_VC54,Total; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a self-care disability
HC02_EST_VC54,Male; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a self-care disability
HC02_MOE_VC54,Male; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a self-care disability
HC03_EST_VC54,Female; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a self-care disability
HC03_MOE_VC54,Female; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a self-care disability
HC01_EST_VC55,Total; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a self-care disability - Below poverty level
HC01_MOE_VC55,Total; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a self-care disability - Below poverty level
HC02_EST_VC55,Male; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a self-care disability - Below poverty level
HC02_MOE_VC55,Male; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a self-care disability - Below poverty level
HC03_EST_VC55,Female; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a self-care disability - Below poverty level
HC03_MOE_VC55,Female; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - With a self-care disability - Below poverty level
HC01_EST_VC56,Total; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - No disability
HC01_MOE_VC56,Total; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - No disability
HC02_EST_VC56,Male; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - No disability
HC02_MOE_VC56,Male; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - No disability
HC03_EST_VC56,Female; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - No disability
HC03_MOE_VC56,Female; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - No disability
HC01_EST_VC57,Total; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - No disability - Below poverty level
HC01_MOE_VC57,Total; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - No disability - Below poverty level
HC02_EST_VC57,Male; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - No disability - Below poverty level
HC02_MOE_VC57,Male; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - No disability - Below poverty level
HC03_EST_VC57,Female; Estimate; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - No disability - Below poverty level
HC03_MOE_VC57,Female; Margin of Error; POVERTY STATUS - Population 5 years and over for whom a poverty status is determined - No disability - Below poverty level
HC01_EST_VC58,Total; Estimate; Population 16 years and over for whom a poverty status is determined
HC01_MOE_VC58,Total; Margin of Error; Population 16 years and over for whom a poverty status is determined
HC02_EST_VC58,Male; Estimate; Population 16 years and over for whom a poverty status is determined
HC02_MOE_VC58,Male; Margin of Error; Population 16 years and over for whom a poverty status is determined
HC03_EST_VC58,Female; Estimate; Population 16 years and over for whom a poverty status is determined
HC03_MOE_VC58,Female; Margin of Error; Population 16 years and over for whom a poverty status is determined
HC01_EST_VC59,Total; Estimate; Population 16 years and over for whom a poverty status is determined - With a go-outside-home disability
HC01_MOE_VC59,Total; Margin of Error; Population 16 years and over for whom a poverty status is determined - With a go-outside-home disability
HC02_EST_VC59,Male; Estimate; Population 16 years and over for whom a poverty status is determined - With a go-outside-home disability
HC02_MOE_VC59,Male; Margin of Error; Population 16 years and over for whom a poverty status is determined - With a go-outside-home disability
HC03_EST_VC59,Female; Estimate; Population 16 years and over for whom a poverty status is determined - With a go-outside-home disability
HC03_MOE_VC59,Female; Margin of Error; Population 16 years and over for whom a poverty status is determined - With a go-outside-home disability
HC01_EST_VC60,Total; Estimate; Population 16 years and over for whom a poverty status is determined - With a go-outside-home disability - Below poverty level
HC01_MOE_VC60,Total; Margin of Error; Population 16 years and over for whom a poverty status is determined - With a go-outside-home disability - Below poverty level
HC02_EST_VC60,Male; Estimate; Population 16 years and over for whom a poverty status is determined - With a go-outside-home disability - Below poverty level
HC02_MOE_VC60,Male; Margin of Error; Population 16 years and over for whom a poverty status is determined - With a go-outside-home disability - Below poverty level
HC03_EST_VC60,Female; Estimate; Population 16 years and over for whom a poverty status is determined - With a go-outside-home disability - Below poverty level
HC03_MOE_VC60,Female; Margin of Error; Population 16 years and over for whom a poverty status is determined - With a go-outside-home disability - Below poverty level
HC01_EST_VC61,Total; Estimate; Population 16 to 64 years for whom a poverty status is determined
HC01_MOE_VC61,Total; Margin of Error; Population 16 to 64 years for whom a poverty status is determined
HC02_EST_VC61,Male; Estimate; Population 16 to 64 years for whom a poverty status is determined
HC02_MOE_VC61,Male; Margin of Error; Population 16 to 64 years for whom a poverty status is determined
HC03_EST_VC61,Female; Estimate; Population 16 to 64 years for whom a poverty status is determined
HC03_MOE_VC61,Female; Margin of Error; Population 16 to 64 years for whom a poverty status is determined
HC01_EST_VC62,Total; Estimate; Population 16 to 64 years for whom a poverty status is determined - With an employment disability
HC01_MOE_VC62,Total; Margin of Error; Population 16 to 64 years for whom a poverty status is determined - With an employment disability
HC02_EST_VC62,Male; Estimate; Population 16 to 64 years for whom a poverty status is determined - With an employment disability
HC02_MOE_VC62,Male; Margin of Error; Population 16 to 64 years for whom a poverty status is determined - With an employment disability
HC03_EST_VC62,Female; Estimate; Population 16 to 64 years for whom a poverty status is determined - With an employment disability
HC03_MOE_VC62,Female; Margin of Error; Population 16 to 64 years for whom a poverty status is determined - With an employment disability
HC01_EST_VC63,Total; Estimate; Population 16 to 64 years for whom a poverty status is determined - With an employment disability - Below poverty level
HC01_MOE_VC63,Total; Margin of Error; Population 16 to 64 years for whom a poverty status is determined - With an employment disability - Below poverty level
HC02_EST_VC63,Male; Estimate; Population 16 to 64 years for whom a poverty status is determined - With an employment disability - Below poverty level
HC02_MOE_VC63,Male; Margin of Error; Population 16 to 64 years for whom a poverty status is determined - With an employment disability - Below poverty level
HC03_EST_VC63,Female; Estimate; Population 16 to 64 years for whom a poverty status is determined - With an employment disability - Below poverty level
HC03_MOE_VC63,Female; Margin of Error; Population 16 to 64 years for whom a poverty status is determined - With an employment disability - Below poverty level
HC01_EST_VC65,Total; Estimate; PERCENT IMPUTED - With any disability
HC01_MOE_VC65,Total; Margin of Error; PERCENT IMPUTED - With any disability
HC02_EST_VC65,Male; Estimate; PERCENT IMPUTED - With any disability
HC02_MOE_VC65,Male; Margin of Error; PERCENT IMPUTED - With any disability
HC03_EST_VC65,Female; Estimate; PERCENT IMPUTED - With any disability
HC03_MOE_VC65,Female; Margin of Error; PERCENT IMPUTED - With any disability
HC01_EST_VC66,Total; Estimate; PERCENT IMPUTED - With a sensory disability
HC01_MOE_VC66,Total; Margin of Error; PERCENT IMPUTED - With a sensory disability
HC02_EST_VC66,Male; Estimate; PERCENT IMPUTED - With a sensory disability
HC02_MOE_VC66,Male; Margin of Error; PERCENT IMPUTED - With a sensory disability
HC03_EST_VC66,Female; Estimate; PERCENT IMPUTED - With a sensory disability
HC03_MOE_VC66,Female; Margin of Error; PERCENT IMPUTED - With a sensory disability
HC01_EST_VC67,Total; Estimate; PERCENT IMPUTED - With a physical disability
HC01_MOE_VC67,Total; Margin of Error; PERCENT IMPUTED - With a physical disability
HC02_EST_VC67,Male; Estimate; PERCENT IMPUTED - With a physical disability
HC02_MOE_VC67,Male; Margin of Error; PERCENT IMPUTED - With a physical disability
HC03_EST_VC67,Female; Estimate; PERCENT IMPUTED - With a physical disability
HC03_MOE_VC67,Female; Margin of Error; PERCENT IMPUTED - With a physical disability
HC01_EST_VC68,Total; Estimate; PERCENT IMPUTED - With a mental disability
HC01_MOE_VC68,Total; Margin of Error; PERCENT IMPUTED - With a mental disability
HC02_EST_VC68,Male; Estimate; PERCENT IMPUTED - With a mental disability
HC02_MOE_VC68,Male; Margin of Error; PERCENT IMPUTED - With a mental disability
HC03_EST_VC68,Female; Estimate; PERCENT IMPUTED - With a mental disability
HC03_MOE_VC68,Female; Margin of Error; PERCENT IMPUTED - With a mental disability
HC01_EST_VC69,Total; Estimate; PERCENT IMPUTED - With a self-care disability
HC01_MOE_VC69,Total; Margin of Error; PERCENT IMPUTED - With a self-care disability
HC02_EST_VC69,Male; Estimate; PERCENT IMPUTED - With a self-care disability
HC02_MOE_VC69,Male; Margin of Error; PERCENT IMPUTED - With a self-care disability
HC03_EST_VC69,Female; Estimate; PERCENT IMPUTED - With a self-care disability
HC03_MOE_VC69,Female; Margin of Error; PERCENT IMPUTED - With a self-care disability
HC01_EST_VC70,Total; Estimate; PERCENT IMPUTED - With a go-outside-home disability
HC01_MOE_VC70,Total; Margin of Error; PERCENT IMPUTED - With a go-outside-home disability
HC02_EST_VC70,Male; Estimate; PERCENT IMPUTED - With a go-outside-home disability
HC02_MOE_VC70,Male; Margin of Error; PERCENT IMPUTED - With a go-outside-home disability
HC03_EST_VC70,Female; Estimate; PERCENT IMPUTED - With a go-outside-home disability
HC03_MOE_VC70,Female; Margin of Error; PERCENT IMPUTED - With a go-outside-home disability
HC01_EST_VC71,Total; Estimate; PERCENT IMPUTED - With an employment disability
HC01_MOE_VC71,Total; Margin of Error; PERCENT IMPUTED - With an employment disability
HC02_EST_VC71,Male; Estimate; PERCENT IMPUTED - With an employment disability
HC02_MOE_VC71,Male; Margin of Error; PERCENT IMPUTED - With an employment disability
HC03_EST_VC71,Female; Estimate; PERCENT IMPUTED - With an employment disability
HC03_MOE_VC71,Female; Margin of Error; PERCENT IMPUTED - With an employment disability
